,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
628,,,Orebro,Sweden,2021-01-18 05:22:34,59.535,15.0066,15142,239,0,14903.0,"Orebro, Sweden",4967.766276799921,1.5783912296922469
629,,,Ostergotland,Sweden,2021-01-18 05:22:34,58.3454,15.5198,17354,430,0,16924.0,"Ostergotland, Sweden",3728.074415407256,2.47781491298836
630,,,Skane,Sweden,2021-01-18 05:22:34,55.9903,13.5958,87617,986,0,86631.0,"Skane, Sweden",6359.071204149723,1.125352385952498
631,,,Sormland,Sweden,2021-01-18 05:22:34,59.0336,16.7519,10771,353,0,10418.0,"Sormland, Sweden",3620.017476641796,3.277318726209266
632,,,Stockholm,Sweden,2021-01-18 05:22:34,59.6025,18.1384,130531,3472,0,127059.0,"Stockholm, Sweden",5491.230631181689,2.6599045437482283
633,,,Uppsala,Sweden,2021-01-18 05:22:34,60.0092,17.2715,20218,417,0,19801.0,"Uppsala, Sweden",5269.042226872689,2.062518547828668
634,,,Varmland,Sweden,2021-01-18 05:22:34,59.7294,13.2354,7094,140,0,6954.0,"Varmland, Sweden",2511.915131686106,1.973498731322244
635,,,Vasterbotten,Sweden,2021-01-18 05:22:34,65.3337,16.5162,9522,101,0,9421.0,"Vasterbotten, Sweden",3504.136367650955,1.0607015332913254
636,,,Vasternorrland,Sweden,2021-01-18 05:22:34,63.4276,17.7292,11952,298,0,11654.0,"Vasternorrland, Sweden",4871.467757910225,2.49330655957162
637,,,Vastmanland,Sweden,2021-01-18 05:22:34,59.6714,16.2159,15728,285,0,15443.0,"Vastmanland, Sweden",5701.752795954249,1.8120549338758905
638,,,Vastra Gotaland,Sweden,2021-01-18 05:22:34,58.2528,13.0596,88409,1570,0,86839.0,"Vastra Gotaland, Sweden",5122.543211264276,1.775837301632187
639,,,,Switzerland,2021-01-18 05:22:34,46.8182,8.2275,495228,8682,317600,168946.0,Switzerland,5722.124304042073,1.7531318907654656
640,,,,Syria,2021-01-18 05:22:34,34.802075,38.99681500000001,13036,832,6548,5656.0,Syria,74.48863205535655,6.382325866830316
641,,,,Taiwan*,2021-01-18 05:22:34,23.7,121.0,855,7,755,93.0,Taiwan*,3.589906693916368,0.8187134502923976
642,,,,Tajikistan,2021-01-18 05:22:34,38.861,71.2761,13308,90,13218,0.0,Tajikistan,139.5313432817042,0.6762849413886384
643,,,,Tanzania,2021-01-18 05:22:34,-6.369028,34.888822,509,21,183,305.0,Tanzania,0.852107987092757,4.12573673870334
644,,,,Thailand,2021-01-18 05:22:34,15.870032,100.992541,12423,70,9206,3147.0,Thailand,17.79799987902575,0.5634709812444659
645,,,,Timor-Leste,2021-01-18 05:22:34,-8.874217,125.727539,52,0,49,3.0,Timor-Leste,3.944049112513104,0.0
646,,,,Togo,2021-01-18 05:22:34,8.6195,0.8248,4302,73,3775,454.0,Togo,51.96444820025084,1.696885169688517
647,,,,Trinidad and Tobago,2021-01-18 05:22:34,10.6918,-61.2225,7393,132,6930,331.0,Trinidad and Tobago,528.2634900831803,1.7854727444880292
648,,,,Tunisia,2021-01-18 05:22:34,33.886917,9.537499,180090,5692,128992,45406.0,Tunisia,1523.7822222530588,3.1606419012715863
649,,,,Turkey,2021-01-18 05:22:34,38.9637,35.2433,2387101,23997,2262864,100240.0,Turkey,2830.362114392373,1.0052779501160614
650,1001.0,Autauga,Alabama,US,2021-01-18 05:22:34,32.53952745,-86.64408227,5184,55,0,5129.0,"Autauga, Alabama, US",9278.848735434678,1.060956790123457
651,1003.0,Baldwin,Alabama,US,2021-01-18 05:22:34,30.72774991,-87.72207058,16251,182,0,16069.0,"Baldwin, Alabama, US",7279.805047618194,1.119931081164236
652,1005.0,Barbour,Alabama,US,2021-01-18 05:22:34,31.868263,-85.3871286,1729,36,0,1693.0,"Barbour, Alabama, US",7003.9698614599365,2.0821283979178715
653,1007.0,Bibb,Alabama,US,2021-01-18 05:22:34,32.99642064,-87.12511459999997,2151,47,0,2104.0,"Bibb, Alabama, US",9605.251406626776,2.1850302185030217
654,1009.0,Blount,Alabama,US,2021-01-18 05:22:34,33.98210918,-86.56790593,5304,83,0,5221.0,"Blount, Alabama, US",9172.3446200671,1.5648567119155354
655,1011.0,Bullock,Alabama,US,2021-01-18 05:22:34,32.10030533,-85.71265535,990,28,0,962.0,"Bullock, Alabama, US",9801.0098010098,2.8282828282828283
656,1013.0,Butler,Alabama,US,2021-01-18 05:22:34,31.75300095,-86.68057478,1696,58,0,1638.0,"Butler, Alabama, US",8720.69107363225,3.419811320754717
657,1015.0,Calhoun,Alabama,US,2021-01-18 05:22:34,33.77483727,-85.82630386,11122,200,0,10922.0,"Calhoun, Alabama, US",9790.062057127769,1.798237727027513
658,1017.0,Chambers,Alabama,US,2021-01-18 05:22:34,32.91360079,-85.39072749,2827,69,0,2758.0,"Chambers, Alabama, US",8501.232934383834,2.4407499115670324
659,1019.0,Cherokee,Alabama,US,2021-01-18 05:22:34,34.17805983,-85.60638968,1603,30,0,1573.0,"Cherokee, Alabama, US",6119.254848068407,1.8714909544603868
660,1021.0,Chilton,Alabama,US,2021-01-18 05:22:34,32.85044126,-86.7173256,3361,65,0,3296.0,"Chilton, Alabama, US",7565.049068155217,1.9339482296935435
661,1023.0,Choctaw,Alabama,US,2021-01-18 05:22:34,32.02227341,-88.26564429999998,512,24,0,488.0,"Choctaw, Alabama, US",4067.0426562872353,4.6875
662,1025.0,Clarke,Alabama,US,2021-01-18 05:22:34,31.68099859,-87.83548597,2814,33,0,2781.0,"Clarke, Alabama, US",11912.623825247649,1.1727078891257996
663,1027.0,Clay,Alabama,US,2021-01-18 05:22:34,33.26984193,-85.85836077,1261,45,0,1216.0,"Clay, Alabama, US",9527.767283717416,3.568596352101507
664,1029.0,Cleburne,Alabama,US,2021-01-18 05:22:34,33.67679204,-85.52005899,1174,23,0,1151.0,"Cleburne, Alabama, US",7873.910127431253,1.959114139693356
665,1031.0,Coffee,Alabama,US,2021-01-18 05:22:34,31.39932826,-85.98901039,4410,56,0,4354.0,"Coffee, Alabama, US",8425.356310419931,1.2698412698412698
666,1033.0,Colbert,Alabama,US,2021-01-18 05:22:34,34.69847452,-87.80168544,5320,73,0,5247.0,"Colbert, Alabama, US",9630.528049818073,1.3721804511278195
667,1035.0,Conecuh,Alabama,US,2021-01-18 05:22:34,31.43401703,-86.99320044,944,20,0,924.0,"Conecuh, Alabama, US",7822.988315239911,2.1186440677966103
668,1037.0,Coosa,Alabama,US,2021-01-18 05:22:34,32.93690146,-86.24847739,605,15,0,590.0,"Coosa, Alabama, US",5673.825377473507,2.479338842975207
669,1039.0,Covington,Alabama,US,2021-01-18 05:22:34,31.2477854,-86.45050893,3272,68,0,3204.0,"Covington, Alabama, US",8831.54741018651,2.078239608801956
670,1041.0,Crenshaw,Alabama,US,2021-01-18 05:22:34,31.72941803,-86.31593104,1187,44,0,1143.0,"Crenshaw, Alabama, US",8618.936973569562,3.7068239258635214
671,1043.0,Cullman,Alabama,US,2021-01-18 05:22:34,34.13020303,-86.86888037,8023,105,0,7918.0,"Cullman, Alabama, US",9577.643014038773,1.308737380032407
672,1045.0,Dale,Alabama,US,2021-01-18 05:22:34,31.43037123,-85.61095742,3961,81,0,3880.0,"Dale, Alabama, US",8055.397380623119,2.044938146932593
673,1047.0,Dallas,Alabama,US,2021-01-18 05:22:34,32.32688101,-87.10866709999998,3031,96,0,2935.0,"Dallas, Alabama, US",8148.72566942682,3.167271527548664
674,1049.0,DeKalb,Alabama,US,2021-01-18 05:22:34,34.45946862,-85.80782906,7683,97,0,7586.0,"DeKalb, Alabama, US",10743.501181603346,1.2625276584667449
675,1051.0,Elmore,Alabama,US,2021-01-18 05:22:34,32.59785413,-86.14415284,7836,101,0,7735.0,"Elmore, Alabama, US",9649.176815377608,1.28892291985707
676,1053.0,Escambia,Alabama,US,2021-01-18 05:22:34,31.1256789,-87.15918694,3168,42,0,3126.0,"Escambia, Alabama, US",8647.940381623126,1.3257575757575757
677,1055.0,Etowah,Alabama,US,2021-01-18 05:22:34,34.04567266,-86.04051873,11735,168,0,11567.0,"Etowah, Alabama, US",11474.752610787344,1.431614827439284
678,1057.0,Fayette,Alabama,US,2021-01-18 05:22:34,33.72076938,-87.73886638,1682,26,0,1656.0,"Fayette, Alabama, US",10317.75242301558,1.5457788347205708
679,1059.0,Franklin,Alabama,US,2021-01-18 05:22:34,34.44235334,-87.84289505,3662,48,0,3614.0,"Franklin, Alabama, US",11676.551240354567,1.3107591480065537
680,1061.0,Geneva,Alabama,US,2021-01-18 05:22:34,31.09389027,-85.83572839,2014,35,0,1979.0,"Geneva, Alabama, US",7666.247954017738,1.7378351539225425
681,1063.0,Greene,Alabama,US,2021-01-18 05:22:34,32.85504247,-87.95684022,760,23,0,737.0,"Greene, Alabama, US",9369.991369744792,3.026315789473684
682,1065.0,Hale,Alabama,US,2021-01-18 05:22:34,32.76039258,-87.63284988,1758,42,0,1716.0,"Hale, Alabama, US",11999.180943280322,2.389078498293516
683,1067.0,Henry,Alabama,US,2021-01-18 05:22:34,31.51148016,-85.24267944,1536,21,0,1515.0,"Henry, Alabama, US",8927.637314734091,1.3671875
684,1069.0,Houston,Alabama,US,2021-01-18 05:22:34,31.15197924,-85.29939599,8598,148,0,8450.0,"Houston, Alabama, US",8120.3604012013375,1.7213305419865086
685,1071.0,Jackson,Alabama,US,2021-01-18 05:22:34,34.78144169,-85.99750489,5803,41,0,5762.0,"Jackson, Alabama, US",11240.46023321582,0.7065311046010684
686,1073.0,Jefferson,Alabama,US,2021-01-18 05:22:34,33.55554728,-86.89506300000002,62039,921,0,61118.0,"Jefferson, Alabama, US",9420.216133974518,1.4845500411031771
687,1075.0,Lamar,Alabama,US,2021-01-18 05:22:34,33.77995024,-88.09668032,1180,19,0,1161.0,"Lamar, Alabama, US",8547.627671133647,1.6101694915254237
688,1077.0,Lauderdale,Alabama,US,2021-01-18 05:22:34,34.90171875,-87.65624729,7546,83,0,7463.0,"Lauderdale, Alabama, US",8137.691552804408,1.0999204876755897
689,1079.0,Lawrence,Alabama,US,2021-01-18 05:22:34,34.52041498,-87.31069453,2436,47,0,2389.0,"Lawrence, Alabama, US",7398.857975944599,1.929392446633826
690,1081.0,Lee,Alabama,US,2021-01-18 05:22:34,32.60154883,-85.35132246,12465,101,0,12364.0,"Lee, Alabama, US",7575.573409828494,0.8102687525070197
691,1083.0,Limestone,Alabama,US,2021-01-18 05:22:34,34.81185586,-86.98310072,8002,74,0,7928.0,"Limestone, Alabama, US",8089.774048425414,0.9247688077980504
692,1085.0,Lowndes,Alabama,US,2021-01-18 05:22:34,32.1597283,-86.65158371,1103,35,0,1068.0,"Lowndes, Alabama, US",11340.736171087809,3.173164097914778
693,1087.0,Macon,Alabama,US,2021-01-18 05:22:34,32.38759944,-85.69267724,1147,35,0,1112.0,"Macon, Alabama, US",6348.239982289129,3.051438535309503
694,1089.0,Madison,Alabama,US,2021-01-18 05:22:34,34.76327133,-86.55069633,27052,186,0,26866.0,"Madison, Alabama, US",7254.316736791015,0.687564690226231
695,1091.0,Marengo,Alabama,US,2021-01-18 05:22:34,32.24767634,-87.78796182,1990,29,0,1961.0,"Marengo, Alabama, US",10549.753485659758,1.457286432160804
696,1093.0,Marion,Alabama,US,2021-01-18 05:22:34,34.13697363,-87.88704173,2456,50,0,2406.0,"Marion, Alabama, US",8266.8551617355,2.035830618892508
697,1095.0,Marshall,Alabama,US,2021-01-18 05:22:34,34.36975964,-86.30486727,10191,107,0,10084.0,"Marshall, Alabama, US",10530.721061442124,1.0499460308115005
698,1097.0,Mobile,Alabama,US,2021-01-18 05:22:34,30.78472347,-88.20842409,30225,548,0,29677.0,"Mobile, Alabama, US",7314.682606906899,1.8130686517783288
699,1099.0,Monroe,Alabama,US,2021-01-18 05:22:34,31.56729412,-87.36995001,1452,17,0,1435.0,"Monroe, Alabama, US",7003.328027781799,1.1707988980716253
700,1101.0,Montgomery,Alabama,US,2021-01-18 05:22:34,32.2206831,-86.20969272,18978,305,0,18673.0,"Montgomery, Alabama, US",8379.325874446986,1.6071240383602066
701,1103.0,Morgan,Alabama,US,2021-01-18 05:22:34,34.45500589,-86.85475946,12233,113,0,12120.0,"Morgan, Alabama, US",10221.509203786796,0.9237308918499142
702,80001.0,Out of AL,Alabama,US,2020-12-21 13:27:30,,,0,0,0,0.0,"Out of AL, Alabama, US",,
703,1105.0,Perry,Alabama,US,2021-01-18 05:22:34,32.64048341,-87.29770589,974,19,0,955.0,"Perry, Alabama, US",10915.611341477084,1.950718685831622
704,1107.0,Pickens,Alabama,US,2021-01-18 05:22:34,33.28094866,-88.08818103,1965,31,0,1934.0,"Pickens, Alabama, US",9859.508278976418,1.5776081424936388
705,1109.0,Pike,Alabama,US,2021-01-18 05:22:34,31.80396383,-85.9408295,2487,29,0,2458.0,"Pike, Alabama, US",7510.418554085885,1.1660635303578608
706,1111.0,Randolph,Alabama,US,2021-01-18 05:22:34,33.29526734,-85.45708831,1398,35,0,1363.0,"Randolph, Alabama, US",6152.627409559019,2.503576537911302
707,1113.0,Russell,Alabama,US,2021-01-18 05:22:34,32.28725256,-85.18415324,3303,10,0,3293.0,"Russell, Alabama, US",5698.659443418851,0.3027550711474417
708,1117.0,Shelby,Alabama,US,2021-01-18 05:22:34,33.26879845,-86.66232561,18504,114,0,18390.0,"Shelby, Alabama, US",8499.692239850805,0.6160830090791181
709,1115.0,St. Clair,Alabama,US,2021-01-18 05:22:34,33.71902176,-86.31029372,7535,120,0,7415.0,"St. Clair, Alabama, US",8417.865761015282,1.59256801592568
710,1119.0,Sumter,Alabama,US,2021-01-18 05:22:34,32.59117397,-88.19916205,890,26,0,864.0,"Sumter, Alabama, US",7161.825058340709,2.9213483146067416
711,1121.0,Talladega,Alabama,US,2021-01-18 05:22:34,33.37823223,-86.16886178,6166,108,0,6058.0,"Talladega, Alabama, US",7709.620145540023,1.7515407071034703
712,1123.0,Tallapoosa,Alabama,US,2021-01-18 05:22:34,32.86698258,-85.79833053,2616,107,0,2509.0,"Tallapoosa, Alabama, US",6480.541035994748,4.090214067278287
713,1125.0,Tuscaloosa,Alabama,US,2021-01-18 05:22:34,33.28726072,-87.52556818,20728,267,0,20461.0,"Tuscaloosa, Alabama, US",9900.886054787325,1.2881126978000772
714,90001.0,Unassigned,Alabama,US,2020-12-21 13:27:30,,,0,0,0,0.0,"Unassigned, Alabama, US",,
715,1127.0,Walker,Alabama,US,2021-01-18 05:22:34,33.80270512,-87.30027177,5897,174,0,5723.0,"Walker, Alabama, US",9283.544024810692,2.9506528743428864
716,1129.0,Washington,Alabama,US,2021-01-18 05:22:34,31.4092794,-88.20689944,1376,26,0,1350.0,"Washington, Alabama, US",8428.273918902365,1.8895348837209305
717,1131.0,Wilcox,Alabama,US,2021-01-18 05:22:34,31.98773215,-87.30891118,1031,21,0,1010.0,"Wilcox, Alabama, US",9939.265400559145,2.0368574199806013
718,1133.0,Winston,Alabama,US,2021-01-18 05:22:34,34.15030532,-87.37325922,2266,35,0,2231.0,"Winston, Alabama, US",9589.910702949765,1.5445719329214476
719,2013.0,Aleutians East,Alaska,US,2021-01-18 05:22:34,55.32222414,-161.9722021,40,0,0,40.0,"Aleutians East, Alaska, US",1198.6814504045549,0.0
720,2016.0,Aleutians West,Alaska,US,2021-01-18 05:22:34,52.3233,-174.1596,269,0,0,269.0,"Aleutians West, Alaska, US",4774.582889598864,0.0
721,2020.0,Anchorage,Alaska,US,2021-01-18 05:22:34,61.14998174,-149.14269860000005,24656,129,0,24527.0,"Anchorage, Alaska, US",8561.111111111111,0.52319922128488
722,2050.0,Bethel,Alaska,US,2021-01-18 05:22:34,60.90980451,-159.8561831,2985,12,0,2973.0,"Bethel, Alaska, US",16235.178940498205,0.4020100502512563
723,2060.0,Bristol Bay,Alaska,US,2021-01-18 05:22:34,58.74513976,-156.701064,0,0,0,0.0,"Bristol Bay, Alaska, US",0.0,
724,2164.0,Bristol Bay plus Lake and Peninsula,Alaska,US,2021-01-18 05:22:34,58.62403337,-156.21405890000003,167,0,0,167.0,"Bristol Bay plus Lake and Peninsula, Alaska, US",4154.228855721392,0.0
725,2068.0,Denali,Alaska,US,2021-01-18 05:22:34,63.67264044,-150.0076108,63,0,0,63.0,"Denali, Alaska, US",3004.291845493562,0.0
726,2070.0,Dillingham,Alaska,US,2021-01-18 05:22:34,59.79603738,-158.23819419999995,154,1,0,153.0,"Dillingham, Alaska, US",3132.628152969894,0.6493506493506493
727,2090.0,Fairbanks North Star,Alaska,US,2021-01-18 05:22:34,64.80726247,-146.5692662,5633,23,0,5610.0,"Fairbanks North Star, Alaska, US",5816.270689423742,0.408308183916208
728,2100.0,Haines,Alaska,US,2021-01-18 05:22:34,59.09893571,-135.4679843,24,0,0,24.0,"Haines, Alaska, US",948.616600790514,0.0
729,2110.0,Juneau,Alaska,US,2021-01-18 05:22:34,58.45031811,-134.200436,1102,5,0,1097.0,"Juneau, Alaska, US",3446.550322136736,0.4537205081669691
730,2122.0,Kenai Peninsula,Alaska,US,2021-01-18 05:22:34,60.24429722,-151.53888840000005,3832,19,0,3813.0,"Kenai Peninsula, Alaska, US",6527.2194590175095,0.4958246346555323
731,2130.0,Ketchikan Gateway,Alaska,US,2021-01-18 05:22:34,55.57445008,-130.975561,269,1,0,268.0,"Ketchikan Gateway, Alaska, US",1935.1125818286453,0.3717472118959107
732,2150.0,Kodiak Island,Alaska,US,2021-01-18 05:22:34,57.65529415,-153.7493579,1002,2,0,1000.0,"Kodiak Island, Alaska, US",7708.878288967533,0.1996007984031936
733,2158.0,Kusilvak,Alaska,US,2021-01-18 05:22:34,62.15429159999999,-163.39678830000005,995,3,0,992.0,"Kusilvak, Alaska, US",11967.765215299494,0.3015075376884422
734,2170.0,Matanuska-Susitna,Alaska,US,2021-01-18 05:22:34,62.31305045,-149.5741743,7157,18,0,7139.0,"Matanuska-Susitna, Alaska, US",6607.457739782306,0.2515020259885427
735,2180.0,Nome,Alaska,US,2021-01-18 05:22:34,64.90320724,-164.0353804,296,0,0,296.0,"Nome, Alaska, US",2958.816473410636,0.0
736,2185.0,North Slope,Alaska,US,2021-01-18 05:22:34,69.31479216,-153.4836093,965,3,0,962.0,"North Slope, Alaska, US",9814.890154597231,0.310880829015544
737,2188.0,Northwest Arctic,Alaska,US,2021-01-18 05:22:34,67.04919196,-159.7503946,520,0,0,520.0,"Northwest Arctic, Alaska, US",6823.251541792416,0.0
738,2195.0,Petersburg,Alaska,US,2021-01-18 05:22:34,57.13978948,-132.9540995,46,1,0,45.0,"Petersburg, Alaska, US",1408.4507042253522,2.1739130434782608
739,2198.0,Prince of Wales-Hyder,Alaska,US,2021-01-18 05:22:34,55.76261984,-133.0511621,75,1,0,74.0,"Prince of Wales-Hyder, Alaska, US",1209.0923746574238,1.3333333333333333
740,2220.0,Sitka,Alaska,US,2021-01-18 05:22:34,57.24124555,-135.3206587,294,0,0,294.0,"Sitka, Alaska, US",3461.6743200282585,0.0
741,2230.0,Skagway,Alaska,US,2021-01-18 05:22:34,59.56149996,-135.3337748,16,0,0,16.0,"Skagway, Alaska, US",1352.493660185968,0.0
742,2240.0,Southeast Fairbanks,Alaska,US,2021-01-18 05:22:34,63.87692095,-143.2127643,412,3,0,409.0,"Southeast Fairbanks, Alaska, US",5977.078195270566,0.7281553398058253
743,90002.0,Unassigned,Alaska,US,2021-01-18 05:22:34,,,225,0,0,225.0,"Unassigned, Alaska, US",,0.0
744,2261.0,Valdez-Cordova,Alaska,US,2021-01-18 05:22:34,61.47502768,-144.7126799,401,3,0,398.0,"Valdez-Cordova, Alaska, US",4357.748315583569,0.7481296758104738
745,2275.0,Wrangell,Alaska,US,2021-01-18 05:22:34,56.3202004,-132.05837309999998,25,0,0,25.0,"Wrangell, Alaska, US",999.2006394884093,0.0
746,2282.0,Yakutat,Alaska,US,2021-01-18 05:22:34,59.8909808,-140.36014509999998,62,1,0,61.0,"Yakutat, Alaska, US",10708.11744386874,1.6129032258064515
747,2290.0,Yukon-Koyukuk,Alaska,US,2021-01-18 05:22:34,65.50815459,-151.3907387,253,4,0,249.0,"Yukon-Koyukuk, Alaska, US",4837.476099426386,1.5810276679841897
748,4001.0,Apache,Arizona,US,2021-01-18 05:22:34,35.39465006,-109.4892383,8634,278,0,8356.0,"Apache, Arizona, US",12010.516505070458,3.2198285846652768
749,4003.0,Cochise,Arizona,US,2021-01-18 05:22:34,31.87934684,-109.7516088,9589,191,0,9398.0,"Cochise, Arizona, US",7615.031527453503,1.9918656794243403
750,4005.0,Coconino,Arizona,US,2021-01-18 05:22:34,35.83883429,-111.7707178,13943,245,0,13698.0,"Coconino, Arizona, US",9718.001616995178,1.757154127519185
751,4007.0,Gila,Arizona,US,2021-01-18 05:22:34,33.80190085,-110.8132779,5389,167,0,5222.0,"Gila, Arizona, US",9976.304194897995,3.098905177212841
752,4009.0,Graham,Arizona,US,2021-01-18 05:22:34,32.93166885,-109.8882178,4361,58,0,4303.0,"Graham, Arizona, US",11228.982671164096,1.3299701903233203
753,4011.0,Greenlee,Arizona,US,2021-01-18 05:22:34,33.21498827,-109.2405279,483,4,0,479.0,"Greenlee, Arizona, US",5085.281111813013,0.8281573498964804
754,4012.0,La Paz,Arizona,US,2021-01-18 05:22:34,33.72854224,-113.9810029,2029,46,0,1983.0,"La Paz, Arizona, US",9612.469205988247,2.267126663380976
755,4013.0,Maricopa,Arizona,US,2021-01-18 05:22:34,33.34835867,-112.4918154,417839,6444,0,411395.0,"Maricopa, Arizona, US",9315.505770481834,1.542220807535917
756,4015.0,Mohave,Arizona,US,2021-01-18 05:22:34,35.70471703,-113.7577902,16734,439,0,16295.0,"Mohave, Arizona, US",7886.662802041653,2.623401458109239
757,4017.0,Navajo,Arizona,US,2021-01-18 05:22:34,35.3997715,-110.3218983,13343,392,0,12951.0,"Navajo, Arizona, US",12028.956763189211,2.937870044217942
758,80004.0,Out of AZ,Arizona,US,2021-01-18 05:22:34,,,0,0,0,0.0,"Out of AZ, Arizona, US",,
